UUSERID,ARTICLEID,CLICK,TIMEDURATION,VISITDATE,VISITTIME,CATEGORIES
115077197152,1084157,1,11.86,2021-08-28 00:00:00,19:01:51,Auctions
100594558802,1081393,1,1.85,2021-08-19 00:00:00,10:30:56,Coronavirus
115003419411,1080992,1,16.99,2021-08-18 00:00:00,05:49:11,Tenants
114595289289,1083467,4,1.19,2021-08-27 00:00:00,12:17:09,House Prices
100434356981,1082191,1,0.01,2021-08-27 00:00:00,08:34:10,On Market
114065709134,1077478,1,2.59,2021-08-30 00:00:00,19:03:38,Small living
114849501093,1084163,2,1.37,2021-08-29 00:00:00,21:45:18,Auctions
113776550473,1084538,1,26.03,2021-09-06 00:00:00,13:43:42,Architecture and renovation
114869344176,1083174,1,2.64,2021-09-09 00:00:00,18:03:33,Title Deeds
115027030455,1082455,1,0.01,2021-08-22 00:00:00,06:32:08,Coronavirus
100435484650,1084751,1,3.89,2021-09-02 00:00:00,14:09:24,On Market
113927317683,1075569,1,1.35,2021-08-22 00:00:00,21:55:05,House Prices
115131727548,1077478,1,0.49,2021-09-05 00:00:00,20:50:26,Small living
115034718442,1081964,1,453.58,2021-08-23 00:00:00,10:39:27,Title Deeds
115153473846,1086343,1,3.47,2021-09-08 00:00:00,16:01:50,Neighbourhoods
113892471663,1084751,1,1.83,2021-09-10 00:00:00,19:03:35,On Market
115109998617,1080026,3,4.46,2021-09-10 00:00:00,12:09:54,Rural Property News
115144854588,1077478,1,5.08,2021-09-07 00:00:00,17:45:22,DIY
115187452762,1084538,1,6.78,2021-09-13 00:00:00,16:27:42,Architecture and renovation
115170786568,1087169,1,10.78,2021-09-10 00:00:00,22:48:09,Title Deeds
115006697597,1080863,1,32.21,2021-08-18 00:00:00,14:02:03,On Market
115125776140,1076026,5,10.90,2021-09-04 00:00:00,15:23:42,Report
115105135802,1084778,1,2.39,2021-09-02 00:00:00,08:16:41,Housing Affordability
113773277770,1087729,2,1.78,2021-09-13 00:00:00,20:03:25,The Block
115035287176,1081964,1,46.18,2021-08-22 00:00:00,19:59:36,Title Deeds
115072741686,1080026,1,1.50,2021-08-28 00:00:00,08:30:51,Suburb &amp; Neighbourhood Profiles
114845981709,1085760,1,3.99,2021-09-11 00:00:00,11:54:23,Coronavirus
115138562313,1085245,1,1.32,2021-09-06 00:00:00,12:05:30,House Prices
115197060028,1087729,1,7.75,2021-09-15 00:00:00,07:46:08,The Block
115041143613,1081964,1,2.66,2021-08-24 00:00:00,07:51:04,Title Deeds
100883738920,1085749,2,8.28,2021-09-04 00:00:00,14:21:00,Celebrity
114934717243,1085208,5,5.05,2021-09-14 00:00:00,20:10:08,The Block Contestants
115068831108,1083720,6,946.33,2021-08-28 00:00:00,06:22:45,House Prices
100471254766,1082900,1,1.75,2021-08-27 00:00:00,11:45:53,Coronavirus
115150393005,1086409,1,1.92,2021-09-08 00:00:00,10:19:15,Coronavirus
115084781779,1080026,1,20.14,2021-08-29 00:00:00,19:35:04,Rural Property News
115072610421,356461,1,19.91,2021-08-28 00:00:00,16:15:16,
115000041358,1080111,3,4.83,2021-08-17 00:00:00,08:08:02,House Prices
115072441155,1083440,2,2.73,2021-08-28 00:00:00,21:22:30,Title Deeds
115182899353,1054007,6,8.35,2021-09-13 00:00:00,08:46:57,Title Deeds
115153184721,1085868,1,0.54,2021-09-08 00:00:00,21:07:05,Architecture and renovation
115164054642,1085208,2,1.95,2021-09-10 00:00:00,06:22:42,The Block
109931436336,1077478,1,3.38,2021-09-08 00:00:00,08:28:51,Home trends
115035326032,1081892,1,1.38,2021-08-23 00:00:00,07:02:56,Architecture and renovation
115041335902,1081687,1,1.43,2021-08-23 00:00:00,14:18:53,Title Deeds
115034447280,1082451,1,0.01,2021-08-23 00:00:00,08:23:15,On Market
112367583141,1081964,1,4.03,2021-09-02 00:00:00,08:05:05,Title Deeds
115171577203,1086547,1,8.93,2021-09-10 00:00:00,14:53:20,House Prices
115098753880,1084614,1,0.25,2021-09-01 00:00:00,10:22:16,Auctions
115109652846,1081137,1,0.82,2021-09-02 00:00:00,17:46:36,House Prices
110009040120,1084256,1,1.76,2021-08-31 00:00:00,10:35:20,House Prices
115190228869,1086921,1,2.25,2021-09-14 00:00:00,04:23:26,Bathrooms
115099514941,1084081,1,4.41,2021-08-31 00:00:00,18:56:34,On Market
115081209777,3931,1,25.86,2021-08-29 00:00:00,12:31:31,
115091154171,1080026,1,7.41,2021-08-31 00:00:00,08:15:56,Rural Property News
115006487055,1078835,1,2.22,2021-08-18 00:00:00,13:09:15,The Block
115099390048,1066251,1,13.86,2021-08-31 00:00:00,20:36:08,Home trends
114861772399,1084538,1,1.90,2021-09-13 00:00:00,20:22:40,The Block
113989700881,1080026,4,2.60,2021-08-28 00:00:00,06:20:51,Rural Property News
100477531449,1080026,1,0.01,2021-08-28 00:00:00,09:11:29,Rural Property News
115121136690,1082569,1,1.99,2021-09-04 00:00:00,07:01:17,On Market
115164785379,1086343,1,34.88,2021-09-09 00:00:00,15:59:20,Suburb &amp; Neighbourhood Profiles
114315752690,1080026,1,2.43,2021-08-29 00:00:00,11:08:28,Rural Property News
115006533076,1075975,1,1.68,2021-08-18 00:00:00,18:00:07,Suburb &amp; Neighbourhood Profiles
114868488685,1080026,1,1.84,2021-08-30 00:00:00,18:26:31,Suburb &amp; Neighbourhood Profiles
113052759218,1087568,1,1.96,2021-09-13 00:00:00,22:21:06,House Prices
115009144395,1075975,1,1.19,2021-08-19 00:00:00,08:54:48,On Market
115016097069,1075975,1,387.68,2021-08-19 00:00:00,15:25:14,Suburb &amp; Neighbourhood Profiles
115027913562,1075975,1,1.28,2021-08-21 00:00:00,19:42:53,Suburb &amp; Neighbourhood Profiles
114765335615,1022534,2,2.44,2021-09-04 00:00:00,13:25:39,Coronavirus
115098761922,1083158,1,1.75,2021-09-01 00:00:00,08:21:06,Architecture and renovation
115101725751,967346,2,2.02,2021-09-01 00:00:00,21:14:19,
115131928809,1082571,1,1.81,2021-09-05 00:00:00,10:51:15,Suburb &amp; Neighbourhood Profiles
114427421522,1081964,1,1.18,2021-08-26 00:00:00,18:59:34,Title Deeds
100425284569,1082676,1,0.64,2021-09-03 00:00:00,14:10:44,On Market
115145452657,1083467,1,1.07,2021-09-07 00:00:00,17:31:05,On Market
115035775402,1081964,1,28.84,2021-08-23 00:00:00,10:08:14,Title Deeds
115087420788,1080026,1,1.18,2021-08-30 00:00:00,13:48:13,Suburb &amp; Neighbourhood Profiles
115012836436,1084163,1,1.09,2021-08-30 00:00:00,08:29:49,Coronavirus
115091708051,1079997,1,2.52,2021-08-30 00:00:00,18:55:18,Neighbourhoods
115197112125,1084751,1,26.13,2021-09-15 00:00:00,03:03:21,On Market
115037828908,1082451,1,1.33,2021-08-23 00:00:00,18:12:16,On Market
114614191026,1084157,1,0.45,2021-08-29 00:00:00,22:52:27,First Home Buyers
115094352765,1084081,1,1.07,2021-08-31 00:00:00,12:43:37,On Market
115117285077,1080026,2,3.05,2021-09-03 00:00:00,21:02:26,Neighbourhoods
34670408,1083214,1,2.28,2021-08-31 00:00:00,16:40:55,On Market
115165218779,1082600,1,8.60,2021-09-09 00:00:00,13:40:11,Neighbourhoods
115084689743,1082578,1,1.66,2021-08-30 00:00:00,05:27:07,Home Organisation
115012444561,1081450,1,1.25,2021-08-19 00:00:00,12:48:19,House Prices
115110158073,1084059,1,1.41,2021-09-02 00:00:00,19:31:02,House Prices
115190938459,1087568,1,0.66,2021-09-14 00:00:00,06:24:23,Coronavirus
115003257411,1080458,1,1.37,2021-08-17 00:00:00,20:32:14,Architecture and renovation
115072615801,1080026,1,1.33,2021-08-28 00:00:00,22:28:43,Neighbourhoods
115058785010,1075988,3,59.07,2021-08-26 00:00:00,15:10:36,Neighbourhoods
115076315253,1080026,2,6.09,2021-08-28 00:00:00,17:48:26,Suburb &amp; Neighbourhood Profiles
110478010517,983903,1,1.14,2021-09-07 00:00:00,08:36:28,Coronavirus
115160478814,1086616,1,2.69,2021-09-09 00:00:00,13:57:01,Renting Advice for Tenants
115003198393,1080863,1,2.05,2021-08-17 00:00:00,13:07:48,On Market
114999853799,1080863,1,1.87,2021-08-17 00:00:00,21:32:06,On Market
100462276892,183054,1,1.94,2021-08-22 00:00:00,14:40:54,
115073397069,1081964,1,1.60,2021-08-28 00:00:00,20:12:23,Title Deeds
34347639,1077289,1,6.99,2021-08-23 00:00:00,10:36:35,Affordability
115009241766,1081208,1,1.60,2021-08-18 00:00:00,20:04:00,Tenants
115117663541,1083158,1,3.57,2021-09-03 00:00:00,18:47:47,Architecture and renovation
115135300196,1085053,1,46.08,2021-09-06 00:00:00,02:22:56,Title Deeds
115167878573,1033319,1,1.53,2021-09-10 00:00:00,12:27:26,House Prices
115090772882,1084163,1,13.38,2021-08-31 00:00:00,03:15:47,Auctions
115193510189,1085101,2,2.32,2021-09-14 00:00:00,15:11:24,DIY
113740956509,1085916,1,1.39,2021-09-13 00:00:00,05:52:21,The Block
115087423728,1082908,2,1.80,2021-08-30 00:00:00,20:24:06,Moving
115158774334,1086343,1,16.47,2021-09-08 00:00:00,23:06:26,Renting Advice for Tenants
100917991087,265261,1,1.77,2021-09-12 00:00:00,11:43:28,
114595836868,1084081,2,0.05,2021-08-31 00:00:00,12:13:54,On Market
115118148699,1085115,1,0.56,2021-09-03 00:00:00,13:57:28,Renting Advice for Landlords
115077086764,1079697,1,0.36,2021-08-29 00:00:00,10:03:40,On Market
115054645540,1081964,1,1.17,2021-08-25 00:00:00,20:36:39,Title Deeds
115100120274,1083158,1,17.28,2021-08-31 00:00:00,21:10:01,Architecture and renovation
115058569627,1083334,1,0.82,2021-08-26 00:00:00,19:57:38,Housing Affordability
115191044252,1087729,1,0.90,2021-09-14 00:00:00,07:48:09,Bathrooms
115152794985,1086409,1,0.48,2021-09-08 00:00:00,20:48:17,House Prices
115031014482,1082455,1,2.74,2021-08-22 00:00:00,19:56:06,Auctions
115128808269,1080026,1,1.79,2021-09-05 00:00:00,03:30:36,Neighbourhoods
115052050193,241,1,28.20,2021-08-25 00:00:00,20:50:01,First-Home Buyer Advice
113021695914,1084157,3,4.95,2021-08-28 00:00:00,21:16:46,Coronavirus
115041399265,1081450,1,1.17,2021-08-24 00:00:00,07:40:41,Celebrity
115152804879,1086409,1,1.06,2021-09-08 00:00:00,12:54:39,House Prices
100429099419,1083467,1,1.37,2021-08-27 00:00:00,19:26:35,House Prices
113908790054,1084157,3,1.40,2021-08-28 00:00:00,23:36:38," News and Guides"
115058818106,1083044,1,0.02,2021-08-26 00:00:00,20:59:33,House Prices
115041754731,1075973,1,1.02,2021-08-24 00:00:00,07:29:40,Architecture and renovation
100598876829,1080026,1,13.32,2021-08-29 00:00:00,06:47:09," Advice and Market trends"
113865476844,1077478,1,16.32,2021-08-25 00:00:00,22:24:53,Small living
115152843081,1084538,1,0.70,2021-09-08 00:00:00,14:38:40,Home trends
115156750273,1086068,1,7.40,2021-09-08 00:00:00,15:14:49,The Block
113528876022,1087729,1,1.78,2021-09-14 00:00:00,06:57:00,Bathrooms
115024742972,1082455,1,2.99,2021-08-21 00:00:00,20:32:41,Coronavirus
114934154511,1081137,2,5.00,2021-08-21 00:00:00,17:04:22,House Prices
115068815142,1080026,1,0.90,2021-08-28 00:00:00,06:24:34,Neighbourhoods
113577507351,1079726,1,1.73,2021-09-04 00:00:00,00:29:32,Celebrity
115184172893,1087384,1,2.16,2021-09-13 00:00:00,10:07:36,Celebrity
115173855638,963768,4,4.65,2021-09-11 00:00:00,17:05:33,Owners
115143225037,1084524,1,21.59,2021-09-06 00:00:00,18:29:49,Policy and Law
115152814079,1085868,1,1.02,2021-09-08 00:00:00,18:22:01,Architecture and renovation
115048352122,1081964,1,13.12,2021-08-24 00:00:00,20:12:09,Title Deeds
115134511518,1084975,3,16.67,2021-09-05 00:00:00,18:29:05,Title Deeds
115051825315,1081848,1,1.49,2021-08-25 00:00:00,11:15:52,House Prices
115128772075,1085208,2,1.10,2021-09-05 00:00:00,09:44:25,The Block Contestants
115034429326,1082457,1,8.23,2021-08-22 00:00:00,18:24:44,Auctions
115065731162,1083467,1,2.21,2021-08-27 00:00:00,13:31:31,House Prices
115079766673,1080026,3,2.35,2021-08-29 00:00:00,12:40:39,Rural
115094386112,1080026,1,2.90,2021-08-31 00:00:00,21:33:19," Advice and Market trends"
115084023497,1083467,1,6.24,2021-08-30 00:00:00,05:05:00,On Market
114973426068,1075988,1,3.23,2021-09-05 00:00:00,19:34:47,Sponsored content
115149710428,1086425,1,0.02,2021-09-08 00:00:00,08:49:01,Rental Prices
113515061742,1084163,1,1.24,2021-09-02 00:00:00,20:11:30,House Prices
114328013982,1081687,1,1.39,2021-08-21 00:00:00,23:10:52,Title Deeds
115031145140,1081849,1,1.66,2021-08-22 00:00:00,21:31:32,Coronavirus
115054644092,1079770,1,1.63,2021-08-25 00:00:00,20:17:51,House Prices
115041265484,972765,1,10.26,2021-08-23 00:00:00,21:49:01,Owners
113662079550,1080766,1,1.48,2021-08-24 00:00:00,23:34:53,Auctions
113613354600,1087169,2,4.35,2021-09-12 00:00:00,20:42:20,Title Deeds
114516815569,1082978,1,1.63,2021-08-25 00:00:00,20:46:12,Renting Advice for Tenants
115105679261,1084778,1,0.74,2021-09-02 00:00:00,09:05:25,Coronavirus
115072698403,1083582,1,1.72,2021-08-28 00:00:00,13:15:58,House Prices
115171219076,1084059,1,15.87,2021-09-11 00:00:00,07:14:54,Coronavirus
100601388154,1010754,2,17.62,2021-09-07 00:00:00,09:11:56,Architecture and renovation
115077096337,1080026,1,0.01,2021-08-28 00:00:00,09:20:09,Suburb &amp; Neighbourhood Profiles
110396988958,1080026,2,2.20,2021-08-28 00:00:00,13:06:12," Advice and Market trends"
115072381035,1083467,1,0.35,2021-08-28 00:00:00,16:29:22,House Prices
114765449844,1081848,1,1.19,2021-08-25 00:00:00,13:47:54,Coronavirus
115024655714,1077478,1,7.74,2021-08-21 00:00:00,21:38:30,Architecture and renovation
113943353389,1077478,1,17.76,2021-08-25 00:00:00,11:20:40,Home trends
115144809269,1086068,1,4.11,2021-09-07 00:00:00,13:21:05,The Block Contestants
115024627020,1024896,1,5.79,2021-08-21 00:00:00,09:06:55,Laundry
115109636241,1080026,1,0.61,2021-09-02 00:00:00,13:50:51," Advice and Market trends"
114940346337,1075653,1,1.06,2021-08-22 00:00:00,01:33:06,Sponsored content
113529511972,1081848,1,2.79,2021-09-09 00:00:00,22:02:01,Coronavirus
115024582648,1080757,1,1.58,2021-08-21 00:00:00,20:35:28,Auctions
100544720336,1081403,1,1.68,2021-08-23 00:00:00,12:39:57,The Block
113670474976,1080026,1,2.24,2021-09-06 00:00:00,23:34:18,Rural
115193949104,170235,1,1.26,2021-09-14 00:00:00,21:17:38,
115098378049,1084614,1,1.13,2021-09-01 00:00:00,06:30:14,Auctions
115094326322,1084081,2,5.20,2021-08-31 00:00:00,17:29:32,On Market
1204214,1084081,1,1.30,2021-08-31 00:00:00,16:45:11,On Market
115034746234,1081892,3,16.34,2021-08-23 00:00:00,07:05:35,House Prices
115177713706,227232,1,10.85,2021-09-11 00:00:00,15:32:20,
115037418346,1075735,1,1.32,2021-08-23 00:00:00,20:21:15,Owners
115160143691,1086024,2,7.68,2021-09-09 00:00:00,11:21:59,The Block
2582829,1083775,2,0.14,2021-08-29 00:00:00,08:42:49,Title Deeds
100467137252,1078989,2,2.42,2021-08-28 00:00:00,15:38:23,Analysis
114828768499,1084538,1,1.44,2021-09-10 00:00:00,22:14:37,The Block
115157266887,1082600,1,23.90,2021-09-08 00:00:00,15:21:24,Suburb &amp; Neighbourhood Profiles
